timestamp_coleta,T_MF4_IN,T_MF4_OUT,T_MM2_IN,T_MM2_OUT,T_BOILER100,T_BOILER200,T_IN,Sinal_Vazao1
2025-05-20 21:09:12.434540,27.82,26.02,27.03,27.78,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:13.815460,29.17,26.93,27.7,27.49,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:14.971141,21.34,25.97,27.7,27.76,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:16.072785,24.63,27.32,27.69,27.05,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:17.329363,20.66,26.36,27.81,27.44,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:18.940572,22.47,26.98,27.62,27.15,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:20.038743,20.58,26.78,27.29,27.03,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:21.112902,27.8,26.77,26.91,27.1,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:22.350809,22.59,26.7,27.5,27.5,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:23.706000,21.39,27.49,27.67,27.08,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:24.798183,29.07,26.97,26.88,27.59,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:25.987454,19.86,26.54,27.65,27.15,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:27.076335,26.43,26.77,27.47,27.78,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:28.164529,21.76,26.23,27.88,27.38,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:29.530345,23.97,26.09,27.01,27.65,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:30.722110,28.03,26.15,27.48,27.37,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:31.894006,20.5,26.08,27.6,27.25,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:33.091424,22.81,27.59,27.66,26.98,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:34.085932,21.54,26.53,27.54,27.41,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:35.355365,28.34,26.7,26.91,27.15,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:36.775777,25.92,27.15,27.62,26.99,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:38.063357,22.1,26.3,27.25,27.33,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:39.467099,26.2,26.41,26.88,27.54,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:41.000027,20.92,27.48,27.05,27.1,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:42.729931,22.26,27.14,27.41,27.32,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:43.814129,23.41,26.11,27.13,27.63,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:44.896686,22.61,27.65,27.58,26.96,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:46.175630,19.75,26.67,27.62,27.57,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:47.359441,21.94,26.71,26.86,27.15,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:48.906189,22.47,26.27,27.73,27.54,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:50.218201,21.92,26.14,27.4,27.55,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:51.496431,22.11,27.73,27.46,27.0,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:52.905522,25.96,26.93,26.97,27.81,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:53.899130,27.01,26.7,27.35,27.23,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:55.163400,22.34,26.2,27.73,27.49,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:56.272160,21.36,25.82,27.76,27.66,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:57.909439,22.08,27.74,27.47,27.0,-100.0,-100.0,-100.0,1.0
2025-05-20 21:09:59.927557,26.02,26.96,27.2,27.76,-100.0,-100.0,-100.0,1.0
